CHR	END	s_5_1_sequence.WB21
chr1	9713578	5
chr1	40404112	3
chr1	115590997	5
chr1	145784932	6
chr1	152530733	5
chr1	229158656	6
chr1	249250621	4
chr2	134641120	4
chr2	238032194	3
chr2	243199373	4
chr3	7820162	6
chr3	18600505	4
chr3	35121175	5
chr3	39813565	6
chr3	138607478	3
chr3	141181302	8
chr3	150922449	3
chr3	156602652	5
chr3	165392098	4
chr3	168995079	3
chr3	172562679	6
chr3	178110987	3
chr3	182818779	5
chr3	192725956	6
chr3	198022430	5
chr4	47682446	2
chr4	92349925	5
chr4	121139338	6
chr4	189386304	4
chr4	191154276	5
chr5	46151913	5
chr5	129182343	3
chr5	136415376	2
chr5	137956562	3
chr5	147792446	4
chr5	154497930	6
chr5	180915260	4
chr6	8849502	2
chr6	24704814	6
chr6	27461594	5
chr6	120819626	3
chr6	164066150	4
chr6	171115067	5
chr7	15810790	6
chr7	113519853	7
chr7	127440699	12
chr7	131655831	10
chr7	159138663	4
chr8	2332702	4
chr8	43230469	3
chr8	70743010	5
chr8	82132478	20
chr8	87087149	6
chr8	92607514	16
chr8	98456289	1
chr8	104701006	3
chr8	109406073	1
chr8	112486236	5
chr8	129380388	31
chr8	132610527	4
chr8	142373059	3
chr8	146364022	5
chr9	37956755	3
chr9	141213431	4
chr10	29480122	4
chr10	33154694	2
chr10	56977638	4
chr10	61617470	7
chr10	70927191	5
chr10	82278835	7
chr10	113132116	2
chr10	135534747	3
chr11	135006516	4
chr12	11706889	4
chr12	28483444	3
chr12	116250100	4
chr12	123963410	2
chr12	133851895	4
chr13	94749122	3
chr13	110741910	5
chr13	115169878	6
chr14	38716032	5
chr14	57948243	4
chr14	85622471	5
chr14	92343342	8
chr14	98441367	4
chr14	105569822	3
chr14	107349540	4
chr15	102531392	4
chr16	61125910	4
chr16	90354753	2
chr17	21676807	2
chr17	28885000	8
chr17	37190590	2
chr17	39620386	18
chr17	60422378	2
chr17	81195210	6
chr18	32424918	3
chr18	54002404	2
chr18	78077248	3
chr19	20217478	3
chr19	24058117	0
chr19	59128983	5
chr20	30103616	8
chr20	32692781	4
chr20	37817914	9
chr20	40914124	4
chr20	44458821	8
chr20	51075009	11
chr20	57696840	14
chr20	63025520	7
chr21	48129895	4
chr22	46618241	4
chr22	51304566	7
chrX	74747700	5
chrX	78407042	3
chrX	155270560	2
chrY	59373566	0
