CHR	END	s_5_1_sequence.WB9
chr1	9594965	5
chr1	40764880	3
chr1	54188235	5
chr1	56740322	4
chr1	151893864	5
chr1	229311488	6
chr1	249250621	4
chr2	133890926	4
chr2	238643147	3
chr2	243199373	2
chr3	4202228	4
chr3	8321701	7
chr3	19101169	3
chr3	24808253	5
chr3	37654204	4
chr3	39722796	7
chr3	138595365	3
chr3	141169506	6
chr3	150905525	3
chr3	165375293	5
chr3	168973137	3
chr3	174089402	6
chr3	177694434	3
chr3	183336784	5
chr3	193055771	7
chr3	198022430	4
chr4	48428977	2
chr4	89481712	5
chr4	103475500	6
chr4	106112720	5
chr4	120300000	6
chr4	190007313	4
chr4	191154276	6
chr5	49450000	5
chr5	137804180	2
chr5	148109044	4
chr5	154282043	6
chr5	180915260	4
chr6	2196127	3
chr6	6312904	2
chr6	8859065	3
chr6	27473082	6
chr6	29533617	3
chr6	34566598	4
chr6	58050000	3
chr6	63237575	10
chr6	120615043	3
chr6	171115067	4
chr7	113904015	7
chr7	127752204	12
chr7	131785404	10
chr7	159138663	4
chr8	2343505	4
chr8	47403282	3
chr8	71180966	4
chr8	82013908	19
chr8	87356441	4
chr8	92565661	16
chr8	98761754	1
chr8	104959037	3
chr8	108027089	1
chr8	112137314	4
chr8	121390260	23
chr8	124974001	45
chr8	129069003	12
chr8	141890583	3
chr8	146364022	4
chr9	38800000	3
chr9	141213431	4
chr10	30067701	4
chr10	33188674	2
chr10	56668434	4
chr10	61815816	7
chr10	71035814	6
chr10	76662679	7
chr10	80239970	8
chr10	82201600	6
chr10	112898133	2
chr10	135534747	3
chr11	135006516	4
chr12	7780358	4
chr12	14335550	3
chr12	34850000	2
chr12	116040552	5
chr12	124141754	3
chr12	133851895	4
chr13	95084808	3
chr13	111930442	5
chr13	115169878	7
chr14	85700672	4
chr14	92359539	8
chr14	107349540	3
chr15	102531392	4
chr16	61312108	4
chr16	90354753	2
chr17	22250000	2
chr17	29000000	5
chr17	36928888	2
chr17	40507462	11
chr17	60794354	2
chr17	65457022	5
chr17	69054185	6
chr17	76661718	5
chr17	81195210	7
chr18	33351563	3
chr18	49206069	2
chr18	51765238	1
chr18	54253659	2
chr18	78077248	3
chr19	2320212	2
chr19	19653724	3
chr19	20600000	2
chr19	24304212	0
chr19	59128983	4
chr20	29800000	7
chr20	32867680	4
chr20	37487599	9
chr20	41070220	4
chr20	44642740	8
chr20	51251315	10
chr20	57371551	14
chr20	63025520	7
chr21	16228563	8
chr21	48129895	4
chr22	47956189	3
chr22	51304566	5
chrX	2634233	0
chrX	6922072	5
chrX	61700000	4
chrX	67335558	5
chrX	74373675	4
chrX	108639760	3
chrX	155270560	2
chrY	59373566	0
