CHR	END	s_5_1_sequence.WB11
chr1	9803488	5
chr1	40822036	3
chr1	152008376	5
chr1	229396185	6
chr1	249250621	4
chr2	20247070	3
chr2	20732955	1
chr2	77540661	3
chr2	91759000	4
chr2	91822000	22
chr2	132181866	4
chr2	132989000	2
chr2	133121000	10
chr2	243199373	3
chr3	2653567	3
chr3	4281722	4
chr3	4360208	1
chr3	8039869	7
chr3	11888575	3
chr3	13193938	4
chr3	14451756	6
chr3	16912754	3
chr3	17201589	8
chr3	19305383	3
chr3	26505902	5
chr3	27374432	2
chr3	32787445	4
chr3	32879257	1
chr3	36797811	4
chr3	37185179	7
chr3	37953438	4
chr3	38367459	14
chr3	39352000	7
chr3	39739501	6
chr3	47820616	3
chr3	49424628	2
chr3	138954828	3
chr3	141019000	8
chr3	142198000	5
chr3	150906536	3
chr3	151076271	4
chr3	151638020	10
chr3	156513147	5
chr3	158173076	3
chr3	161164883	6
chr3	165490549	5
chr3	169033464	3
chr3	172665210	6
chr3	177965715	3
chr3	186178703	5
chr3	190504931	7
chr3	198022430	4
chr4	49078000	2
chr4	52681000	18
chr4	57756000	5
chr4	58622000	10
chr4	88888592	4
chr4	104283071	5
chr4	106095321	3
chr4	120772708	5
chr4	180163082	3
chr4	190282448	2
chr4	191154276	5
chr5	14434149	4
chr5	15711025	2
chr5	46176519	4
chr5	137875354	2
chr5	147741000	4
chr5	154412449	6
chr5	159431034	4
chr5	160045486	3
chr5	180915260	4
chr6	1819134	2
chr6	2031090	10
chr6	7757889	2
chr6	8217000	7
chr6	8776000	2
chr6	27073346	6
chr6	32646753	3
chr6	34223128	5
chr6	118207645	3
chr6	171115067	4
chr7	6444150	6
chr7	7000000	4
chr7	62253863	7
chr7	62378178	3
chr7	65452209	5
chr7	65674686	2
chr7	73195388	7
chr7	103877000	6
chr7	113801178	7
chr7	117032035	11
chr7	117153262	2
chr7	128584530	10
chr7	129152384	2
chr7	131652558	11
chr7	132863000	2
chr7	159138663	4
chr8	43778670	3
chr8	49426249	4
chr8	51137000	2
chr8	71224153	4
chr8	71385734	29
chr8	71498000	3
chr8	72063047	39
chr8	72390432	3
chr8	72669000	12
chr8	78778738	17
chr8	80002763	11
chr8	81810654	25
chr8	83482642	2
chr8	83498000	25
chr8	85528000	3
chr8	86050445	6
chr8	87084038	2
chr8	88643000	10
chr8	89506524	28
chr8	90746366	9
chr8	91228372	29
chr8	91552886	3
chr8	92532000	13
chr8	98648502	1
chr8	104732350	3
chr8	108037480	1
chr8	108881423	3
chr8	109764410	1
chr8	109784418	3
chr8	110030358	12
chr8	111998000	3
chr8	112548412	6
chr8	112668832	23
chr8	113303589	31
chr8	113766984	17
chr8	115370176	15
chr8	116688133	23
chr8	117032542	41
chr8	117783492	17
chr8	118066150	10
chr8	120977772	22
chr8	124087565	45
chr8	124762138	30
chr8	124802417	9
chr8	125099036	17
chr8	125556286	11
chr8	125646701	39
chr8	126595000	12
chr8	127106738	5
chr8	127794066	2
chr8	128763610	30
chr8	128803652	2
chr8	129096181	39
chr8	129909000	3
chr8	131645484	5
chr8	132387791	2
chr8	132723290	8
chr8	135113005	2
chr8	137328679	4
chr8	142059726	2
chr8	146364022	4
chr9	44892000	3
chr9	141213431	4
chr10	29799000	4
chr10	33444047	2
chr10	42355000	4
chr10	42415941	46
chr10	42527000	3
chr10	42649000	56
chr10	46962000	4
chr10	47150000	10
chr10	56954970	4
chr10	58957000	8
chr10	70924689	5
chr10	82201324	7
chr10	112919193	2
chr10	135534747	3
chr11	3253922	5
chr11	46532916	4
chr11	49638457	3
chr11	89284795	4
chr11	90454394	2
chr11	135006516	4
chr12	14387926	3
chr12	28654000	2
chr12	108042519	3
chr12	109793343	2
chr12	117967016	3
chr12	123438235	2
chr12	133851895	3
chr13	32423838	3
chr13	61785527	4
chr13	86643838	3
chr13	95060492	4
chr13	115169878	6
chr14	23172945	3
chr14	24964000	2
chr14	37916000	3
chr14	39049068	4
chr14	46396000	3
chr14	50155545	2
chr14	52277509	3
chr14	53078194	6
chr14	57977097	2
chr14	58532137	8
chr14	62185363	2
chr14	84884537	3
chr14	85495674	2
chr14	92485473	7
chr14	107349540	2
chr15	20184544	4
chr15	22565234	9
chr15	83377407	4
chr15	97653407	5
chr15	102531392	4
chr16	15487000	4
chr16	18833000	3
chr16	31608000	4
chr16	33912000	6
chr16	34173000	14
chr16	34460000	4
chr16	34769000	9
chr16	61618193	5
chr16	64541022	3
chr16	68633545	2
chr16	68857703	1
chr16	70881000	2
chr16	71183559	7
chr16	79176784	3
chr16	90354753	2
chr17	7786130	2
chr17	11022732	1
chr17	22245000	2
chr17	25280000	92
chr17	26635367	4
chr17	28889000	6
chr17	37259801	2
chr17	37279871	8
chr17	38121164	29
chr17	38283208	18
chr17	39994330	11
chr17	40575434	6
chr17	60643975	2
chr17	63279756	4
chr17	66581342	6
chr17	66763169	2
chr17	70905399	6
chr17	76745479	5
chr17	78125148	11
chr17	81195210	5
chr18	33324304	3
chr18	48440065	2
chr18	51317986	1
chr18	54748567	2
chr18	58783229	3
chr18	78077248	4
chr19	14815264	3
chr19	19190859	4
chr19	20346503	3
chr19	24517459	1
chr19	59128983	4
chr20	26082000	7
chr20	32967075	4
chr20	34083329	9
chr20	34709111	5
chr20	35220356	10
chr20	35770829	6
chr20	37607099	11
chr20	41300398	5
chr20	42665099	11
chr20	44598629	7
chr20	50975492	10
chr20	57220402	14
chr20	57524403	10
chr20	63025520	7
chr21	14370000	6
chr21	48129895	3
chr22	29678287	3
chr22	32142527	2
chr22	46896439	3
chr22	47548667	1
chr22	47927484	3
chr22	51304566	4
chrX	2705493	1
chrX	54867229	4
chrX	54994000	10
chrX	74838000	4
chrX	76807000	3
chrX	78334677	4
chrX	102222880	2
chrX	103282000	4
chrX	103652000	2
chrX	104485892	3
chrX	154930000	2
chrX	155270560	1
chrY	9930219	1
chrY	13874354	2
chrY	28800910	1
chrY	59021612	13
chrY	59373566	0
