CHR	END	sim_lg.2
chr1	150193775	2
chr1	220222568	4
chr1	223014307	0
chr1	249250621	2
chr2	59055327	2
chr2	154041791	4
chr2	243199373	2
chr3	80456162	2
chr3	123672925	3
chr3	156783742	2
chr3	198022430	1
chr4	75063564	2
chr4	135673837	4
chr4	191154276	2
chr5	56981484	4
chr5	180915260	2
chr6	43130232	2
chr6	71033427	3
chr6	143862185	4
chr6	171115067	3
chr7	30242019	4
chr7	132439041	2
chr7	159138663	3
chr8	84226571	3
chr8	146364022	5
chr9	38755914	2
chr9	102626847	3
chr9	141213431	2
chr10	30271426	1
chr10	62443879	2
chr10	88989132	3
chr10	135534747	2
chr11	20579070	2
chr11	31095230	0
chr11	60250870	1
chr11	135006516	2
chr12	65862398	2
chr12	133851895	4
chr13	20421381	2
chr13	41504027	1
chr13	115169878	2
chr14	26536351	2
chr14	54282387	3
chr14	77401838	2
chr14	107349540	4
chr15	102531392	1
chr16	34005744	4
chr16	90354753	2
chr17	15180241	2
chr17	26078619	3
chr17	81195210	2
chr18	12184437	2
chr18	33194114	0
chr18	45566195	4
chr18	52945218	3
chr18	78077248	2
chr19	24337743	3
chr19	59128983	2
chr20	32430767	3
chr20	63025520	2
chr21	28749966	0
chr21	48129895	2
chr22	20780796	2
chr22	34746236	5
chr22	51304566	2
chrX	52577369	2
chrX	129174628	3
chrX	146693900	0
chrX	155270560	2
chrY	59373566	0
