CHR	END	sim_lg
chr1	149943676	2
chr1	220171144	4
chr1	222762275	0
chr1	249250621	2
chr2	58891648	2
chr2	153902862	4
chr2	243199373	2
chr3	80659982	2
chr3	123447116	3
chr3	156605092	2
chr3	198022430	1
chr4	75200254	2
chr4	135724510	4
chr4	191154276	2
chr5	56736685	4
chr5	180915260	2
chr6	43367128	2
chr6	70792466	3
chr6	143973991	4
chr6	171115067	3
chr7	30284535	4
chr7	132694479	2
chr7	159138663	3
chr8	84204737	3
chr8	146364022	5
chr9	41720098	2
chr9	102388689	3
chr9	141213431	2
chr10	30520587	1
chr10	62190833	2
chr10	89431424	3
chr10	135534747	2
chr11	20713022	2
chr11	31121493	0
chr11	60065720	1
chr11	135006516	2
chr12	65956574	2
chr12	133851895	4
chr13	20393514	2
chr13	41474797	1
chr13	115169878	2
chr14	26786394	2
chr14	54334749	3
chr14	77493721	2
chr14	107349540	4
chr15	102531392	1
chr16	34209948	4
chr16	90354753	2
chr17	15273919	2
chr17	25820577	3
chr17	81195210	2
chr18	12161754	2
chr18	32943211	0
chr18	45312268	4
chr18	53189649	3
chr18	78077248	2
chr19	28271345	3
chr19	59128983	2
chr20	32187714	3
chr20	63025520	2
chr21	29007810	0
chr21	48129895	2
chr22	20269485	2
chr22	34705637	5
chr22	51304566	2
chrX	53053339	2
chrX	129399971	3
chrX	146714351	0
chrX	155270560	2
