CHR	END	s_5_1_sequence.WB3
chr1	9874816	5
chr1	40811971	3
chr1	55079278	5
chr1	56143431	3
chr1	121353447	5
chr1	142598000	38
chr1	144928540	9
chr1	144986000	14
chr1	145082734	21
chr1	145112797	12
chr1	151396614	5
chr1	229426204	6
chr1	249250621	4
chr2	91759000	4
chr2	91924000	23
chr2	131947000	4
chr2	132994000	3
chr2	133056671	10
chr2	242749000	3
chr2	243199373	4
chr3	4360208	4
chr3	8070044	7
chr3	12902382	3
chr3	13467340	6
chr3	13766358	3
chr3	14310565	6
chr3	16842641	4
chr3	17161538	6
chr3	18855657	4
chr3	25146703	5
chr3	26025665	3
chr3	26929000	4
chr3	27185226	2
chr3	37943438	5
chr3	38357435	11
chr3	39384148	7
chr3	40104299	4
chr3	52313092	3
chr3	52716392	2
chr3	75676306	3
chr3	75832731	9
chr3	75898000	4
chr3	138747412	3
chr3	141425762	7
chr3	151055580	3
chr3	151628019	10
chr3	156809252	4
chr3	158183089	3
chr3	165410131	5
chr3	169053742	3
chr3	172725420	6
chr3	178055815	3
chr3	184242864	5
chr3	190883137	6
chr3	198022430	5
chr4	77841	10
chr4	49078000	2
chr4	52681000	33
chr4	53480848	6
chr4	69131542	5
chr4	69511000	3
chr4	88437576	5
chr4	104177000	6
chr4	105436000	4
chr4	120692443	5
chr4	190423069	4
chr4	191154276	7
chr5	14484397	5
chr5	15580528	3
chr5	49853822	5
chr5	63553000	3
chr5	64640000	4
chr5	128872000	3
chr5	137895594	2
chr5	140215000	5
chr5	140259791	1
chr5	142356111	5
chr5	147871121	4
chr5	154440000	6
chr5	180376000	4
chr5	180432000	1
chr5	180915260	5
chr6	261249	2
chr6	373195	7
chr6	1465846	2
chr6	1625387	4
chr6	1839291	2
chr6	2031090	5
chr6	6713381	2
chr6	6825126	7
chr6	7767906	2
chr6	8228292	6
chr6	8786607	2
chr6	25980801	6
chr6	27464144	4
chr6	32687482	3
chr6	34305196	5
chr6	57205000	3
chr6	57600000	7
chr6	58761216	3
chr6	61890607	4
chr6	86290295	3
chr6	87589000	4
chr6	120059945	3
chr6	171115067	4
chr7	45759916	7
chr7	45877000	2
chr7	58035912	7
chr7	61087000	16
chr7	62110111	8
chr7	65788293	6
chr7	71933277	7
chr7	86183000	6
chr7	113831254	7
chr7	113871413	11
chr7	114644692	18
chr7	117032035	10
chr7	117143228	3
chr7	121842289	11
chr7	121884000	2
chr7	128594564	11
chr7	129152384	3
chr7	131652558	11
chr7	132771865	2
chr7	141758459	4
chr7	141832303	1
chr7	159138663	4
chr8	12231000	3
chr8	12494000	10
chr8	15559695	3
chr8	16533000	4
chr8	19290858	3
chr8	21457165	4
chr8	43388423	3
chr8	46882000	2
chr8	49528132	4
chr8	50861596	2
chr8	71224153	4
chr8	71385734	41
chr8	71483519	3
chr8	71528521	27
chr8	71992852	38
chr8	72063047	29
chr8	72410766	3
chr8	72612241	9
chr8	72659000	16
chr8	72709054	38
chr8	74628954	16
chr8	75030195	9
chr8	75131476	47
chr8	75715206	17
chr8	75994183	8
chr8	76126043	23
chr8	76989008	17
chr8	78368846	22
chr8	79289002	13
chr8	79473623	7
chr8	80012763	17
chr8	80575117	23
chr8	80623281	42
chr8	81195769	21
chr8	81563000	30
chr8	81800654	47
chr8	83508192	2
chr8	86162909	6
chr8	87084038	2
chr8	87784951	9
chr8	88308157	13
chr8	88643000	8
chr8	89212604	38
chr8	89506524	23
chr8	89850140	15
chr8	90246267	7
chr8	90756436	10
chr8	91228372	34
chr8	91663361	5
chr8	92101241	15
chr8	92350000	26
chr8	92560440	12
chr8	98770364	1
chr8	104722327	3
chr8	108027453	1
chr8	108891459	3
chr8	109784418	1
chr8	110080910	10
chr8	112054338	4
chr8	112345997	8
chr8	112548412	4
chr8	113313604	30
chr8	115289197	19
chr8	115899469	27
chr8	116216657	35
chr8	116517348	26
chr8	116688133	15
chr8	117032542	45
chr8	117458318	19
chr8	117987000	13
chr8	119990000	24
chr8	120177000	30
chr8	120583537	42
chr8	120987867	14
chr8	121547881	35
chr8	124087565	49
chr8	124762138	31
chr8	125435336	16
chr8	125646701	23
chr8	126641041	17
chr8	127783514	4
chr8	128343034	23
chr8	128763610	35
chr8	128803652	4
chr8	129096181	39
chr8	129991225	3
chr8	131091904	6
chr8	131152484	2
chr8	131393452	6
chr8	132337000	2
chr8	132683290	8
chr8	133430043	2
