CHR	END	s_5_1_sequence.WB6
chr1	9409275	6
chr1	39545971	4
chr1	50369229	6
chr1	89573711	5
chr1	111311392	6
chr1	113677539	7
chr1	114279609	12
chr1	121335020	8
chr1	145292286	15
chr1	150163166	8
chr1	151606110	6
chr1	184468485	9
chr1	229377702	8
chr1	249250621	6
chr2	80408796	5
chr2	90248103	6
chr2	91815713	25
chr2	92265954	7
chr2	92294630	227
chr2	107246133	5
chr2	111593120	7
chr2	116692310	5
chr2	130671757	7
chr2	132985384	5
chr2	133042066	18
chr2	133368141	7
chr2	243199373	4
chr3	4363421	6
chr3	8033878	10
chr3	13378283	5
chr3	14151570	11
chr3	19450000	5
chr3	25152940	7
chr3	27204500	5
chr3	37210757	7
chr3	37948091	4
chr3	39596202	12
chr3	40112871	6
chr3	44827065	5
chr3	50617450	3
chr3	52326512	5
chr3	52568048	1
chr3	84533795	4
chr3	97670514	3
chr3	138953980	4
chr3	141262753	9
chr3	142326431	6
chr3	151063209	4
chr3	151638510	12
chr3	152268456	3
chr3	165397341	6
chr3	169045500	4
chr3	172728532	9
chr3	177960350	4
chr3	185188368	7
chr3	191025381	9
chr3	191558161	7
chr3	191662162	2
chr3	198022430	7
chr4	81210	10
chr4	49031599	3
chr4	52868927	12
chr4	88379339	6
chr4	120800204	8
chr4	190445544	5
chr4	191154276	9
chr5	14486717	6
chr5	15646559	3
chr5	49819078	5
chr5	128829766	4
chr5	137814059	3
chr5	142430493	7
chr5	148131027	5
chr5	154477842	9
chr5	180915260	6
chr6	1771807	3
chr6	2054190	9
chr6	7444658	3
chr6	8248177	7
chr6	8756168	3
chr6	26005792	8
chr6	27760820	5
chr6	29784460	4
chr6	31053155	6
chr6	32649943	4
chr6	34254363	7
chr6	57231114	4
chr6	57602705	10
chr6	86453173	4
chr6	87619203	6
chr6	117585759	4
chr6	171115067	5
chr7	1664956	9
chr7	2337434	14
chr7	2553579	7
chr7	3972775	12
chr7	7113761	8
chr7	26938977	9
chr7	27446339	7
chr7	44553253	10
chr7	45060883	7
chr7	48696519	11
chr7	113833923	9
chr7	114638360	19
chr7	117024477	14
chr7	117135615	3
chr7	128569577	15
chr7	129137378	3
chr7	131645831	17
chr7	132773742	3
chr7	133731584	5
chr7	135878383	7
chr7	159138663	5
chr8	4337855	5
chr8	43780700	4
chr8	47883460	5
chr8	48086808	14
chr8	49541332	6
chr8	50663829	3
chr8	71219149	5
chr8	71380718	52
chr8	71482892	5
chr8	72053813	53
chr8	72404434	4
chr8	72651829	16
chr8	72717773	57
chr8	74597270	22
chr8	75035248	13
chr8	75156636	57
chr8	75620280	19
chr8	75721574	40
chr8	75953219	9
chr8	77312740	24
chr8	78196172	32
chr8	79127017	21
chr8	79465740	11
chr8	79996122	22
chr8	80849557	37
chr8	80904471	17
chr8	81560501	39
chr8	81799887	61
chr8	83370031	3
chr8	86141788	8
chr8	87132916	3
chr8	87807210	13
chr8	88063795	25
chr8	88557796	12
chr8	88630956	3
chr8	89487573	45
chr8	89871629	21
chr8	90743808	14
chr8	91214155	50
chr8	91658531	8
chr8	91882593	18
chr8	92334704	29
chr8	92544983	15
chr8	98721009	2
chr8	104707501	4
chr8	108018002	2
chr8	108876752	3
chr8	109761723	1
chr8	109998210	20
chr8	112534949	6
chr8	113282686	44
chr8	115361146	28
chr8	116513318	41
chr8	116684120	25
chr8	117054078	62
chr8	117616133	25
chr8	117970719	15
chr8	119527524	32
chr8	120575228	48
chr8	120969512	21
chr8	121402480	62
chr8	121573956	36
chr8	123528917	80
chr8	124244301	58
chr8	124274417	22
chr8	124749202	50
chr8	125544676	25
chr8	125635267	55
chr8	126643902	20
chr8	127080483	7
chr8	127780629	4
chr8	128220851	33
chr8	128747697	54
chr8	128799503	8
chr8	129092061	59
chr8	129938957	4
chr8	131435693	7
chr8	132308207	3
chr8	132704451	8
chr8	133427331	2
chr8	137219942	6
chr8	140140099	3
chr8	140816601	5
chr8	142138395	3
chr8	146364022	5
chr9	66265558	4
chr9	130339194	5
chr9	140358179	4
chr9	141213431	7
chr10	29789098	6
chr10	32742936	3
chr10	39134832	6
chr10	42402394	64
chr10	42501133	8
chr10	42625797	16
chr10	56957638	6
chr10	58164843	9
chr10	58435575	18
chr10	75046732	8
chr10	80679309	12
chr10	82273835	9
chr10	91517247	3
chr10	92324917	5
chr10	112843536	3
chr10	135534747	5
chr11	22733501	6
chr11	110367101	5
chr11	135006516	6
chr12	6330123	5
chr12	28746240	4
chr12	108049873	5
chr12	109503620	3
chr12	116073779	5
chr12	124223624	3
chr12	133851895	4
chr13	95087578	4
chr13	115169878	9
chr14	21734369	8
chr14	21826015	3
chr14	30986897	7
chr14	38093114	6
chr14	40301699	8
chr14	46024417	6
chr14	48782774	3
chr14	51798044	5
chr14	52203696	4
chr14	53103909	10
chr14	55801353	5
chr14	55922125	1
chr14	57969409	4
chr14	58447076	13
chr14	64179856	7
chr14	64251448	1
chr14	75800028	6
chr14	82040305	8
chr14	85520246	6
chr14	92482877	11
chr14	103842932	5
chr14	104562803	3
chr14	107349540	4
chr15	20188301	4
chr15	20616818	19
chr15	22333583	5
chr15	22783713	11
chr15	70714855	5
chr15	102531392	4
chr16	32315215	6
chr16	34015824	8
chr16	61563020	6
chr16	68607278	3
chr16	68847557	1
chr16	70816984	2
chr16	71193100	8
chr16	90354753	3
chr17	22226101	3
chr17	25315963	14
chr17	26500497	8
chr17	28983956	13
chr17	37266226	3
chr17	37694341	40
chr17	37926095	54
chr17	38178801	39
chr17	38483955	23
chr17	39600305	17
chr17	40560300	11
chr17	48730166	3
chr17	49533671	6
chr17	60657063	3
chr17	64845097	7
chr17	66591167	11
chr17	66745220	3
chr17	68940215	11
chr17	76740481	7
chr17	78196300	14
chr17	81195210	7
chr18	28850168	5
chr18	48964592	3
chr18	51276890	1
chr18	54670256	3
chr18	78077248	4
chr19	15633241	3
chr19	16133449	7
chr19	20337965	3
chr19	24516633	1
chr19	51321966	5
chr19	51595868	12
chr19	59128983	6
chr20	29809359	11
chr20	32946039	6
chr20	34089253	15
chr20	34463382	8
chr20	36014229	15
chr20	36074363	55
chr20	37631019	16
chr20	41261347	7
chr20	42441968	18
chr20	44586417	11
chr20	51102766	16
chr20	54736545	23
chr20	55627537	16
chr20	57509574	21
chr20	57640566	7
chr20	61574725	11
chr20	63025520	8
chr21	11044751	9
chr21	14364426	21
chr21	38108784	5
chr21	48129895	6
chr22	46880125	5
chr22	47682507	3
chr22	51304566	8
chrX	50615822	5
chrX	74861582	7
chrX	77291796	4
chrX	78071029	7
chrX	90697181	3
chrX	91270484	8
chrX	102240860	3
chrX	103339350	5
chrX	103751925	3
chrX	103971684	9
chrX	136899643	3
chrX	155270560	5
chrY	9920088	1
chrY	13874354	3
chrY	28786536	1
chrY	59021612	19
chrY	59373566	0
