CHR	END	MAPPABLE	COUNT	s_5_1_sequence.WB20	Raw
chr1	1279242	1	1	5	226
chr1	1866511	1	1	5	153
chr1	2600000	1	1.409092	5	161.806335
chr1	3206131	1	1	5	162
chr1	3900000	1	1.26117	5	179.991592
chr1	4511644	1	1	5	243
chr1	5018108	1	1	5	278
chr1	5527792	1	1	5	248
chr1	6035094	1	1	5	271
chr1	6545361	1	1	5	198
chr1	7051496	1	1	5	179
chr1	7561191	1	1	5	275
chr1	8070966	1	1	5	173
chr1	8578594	1	1	5	180
chr1	9089298	1	1	5	185
chr1	9594965	1	1	5	191
chr1	10105986	1	1	3	127
chr1	10613901	1	1	3	98
chr1	11118524	1	1	3	105
chr1	11630399	1	1	3	128
chr1	12138747	1	1	3	81
chr1	12900000	1	1.464786	3	91.480934
chr1	14308413	1	1	3	106
chr1	14821282	1	1	3	123
chr1	15324692	1	1	3	212
chr1	15832476	1	1	3	106
chr1	16339425	1	1	3	90
chr1	17100000	1	1.217422	3	112.532875
chr1	17719530	1	1	3	114
chr1	18224197	1	1	3	110
chr1	18727245	1	1	3	155
chr1	19230331	1	1	3	107
chr1	19735237	1	1	3	128
chr1	20240736	1	1	3	106
chr1	20746276	1	1	3	184
chr1	21256631	1	1	3	97
chr1	21779241	1	1	3	94
chr1	22294963	1	1	3	99
chr1	22815312	1	1	3	102
chr1	23318807	1	1	3	132
chr1	23825711	1	1	3	61
chr1	24342929	1	1	3	72
chr1	24849204	1	1	3	124
chr1	25358473	1	1	3	95
chr1	25944592	1	1	3	143
chr1	26448507	1	1	3	120
chr1	26958293	1	1	3	109
chr1	27473091	1	1	3	85
chr1	27983253	1	1	3	107
chr1	28495039	1	1	3	80
chr1	29007339	1	1	3	114
chr1	29516334	1	1	3	80
chr1	29900000	1	0.710888	3	158.956116
chr1	30533828	1	1	3	182
chr1	31053911	1	1	3	155
chr1	31559397	1	1	3	129
chr1	32067804	1	1	3	118
chr1	32573793	1	1	3	96
chr1	33083470	1	1	3	90
chr1	33596198	1	1	3	84
chr1	34104481	1	1	3	83
chr1	34623919	1	1	3	151
chr1	35139660	1	1	3	108
chr1	35654188	1	1	3	161
chr1	36160064	1	1	3	91
chr1	36666590	1	1	3	145
chr1	37173656	1	1	3	180
chr1	37682757	1	1	3	159
chr1	38189160	1	1	3	153
chr1	38698784	1	1	3	121
chr1	39207645	1	1	3	149
chr1	39719691	1	1	3	92
chr1	40252160	1	1	3	127
chr1	40764880	1	1	3	140
chr1	41279491	1	1	5	200
chr1	41793904	1	1	5	186
chr1	42297859	1	1	5	181
chr1	42815197	1	1	5	240
chr1	43323895	1	1	5	223
chr1	43837870	1	1	5	204
chr1	44343405	1	1	5	271
chr1	44847463	1	1	5	191
chr1	45354379	1	1	5	189
chr1	45880260	1	1	5	176
chr1	46395129	1	1	5	131
chr1	46911154	1	1	5	182
chr1	47464511	1	1	5	183
chr1	48013666	1	1	5	200
chr1	48519629	1	1	5	248
chr1	49053458	1	1	5	179
chr1	49563558	1	1	5	217
chr1	50090211	1	1	5	168
chr1	50617406	1	1	5	157
chr1	51122935	1	1	5	189
chr1	51638632	1	1	5	154
chr1	52149987	1	1	5	188
chr1	52665225	1	1	5	132
chr1	53171416	1	1	5	195
chr1	53682707	1	1	5	159
chr1	54188235	1	1	5	222
chr1	54693851	1	1	5	173
chr1	55205379	1	1	5	194
chr1	55717185	1	1	5	120
chr1	56231019	1	1	5	184
chr1	56740322	1	1	5	208
chr1	57250818	1	1	5	237
chr1	57754809	1	1	5	244
chr1	58261658	1	1	5	193
chr1	58781173	1	1	5	223
chr1	59298093	1	1	5	226
chr1	59809816	1	1	5	216
chr1	60339511	1	1	5	203
chr1	60854537	1	1	5	200
chr1	61380476	1	1	5	219
chr1	61882437	1	1	5	175
chr1	62390400	1	1	5	187
chr1	62900906	1	1	5	157
chr1	63415874	1	1	5	154
chr1	63922996	1	1	5	151
chr1	64432179	1	1	5	172
chr1	64949711	1	1	5	210
chr1	65454999	1	1	5	195
chr1	65969134	1	1	5	162
chr1	66497064	1	1	5	162
chr1	67017382	1	1	5	135
chr1	67528850	1	1	5	174
chr1	68047510	1	1	5	142
chr1	68552533	1	1	5	222
chr1	69062237	1	1	5	168
chr1	69597792	1	1	5	197
chr1	70107864	1	1	5	145
chr1	70629620	1	1	5	137
chr1	71143056	1	1	5	160
chr1	71657890	1	1	5	187
chr1	72172122	1	1	5	143
chr1	72680859	1	1	5	137
chr1	73186907	1	1	5	142
chr1	73706308	1	1	5	140
chr1	74215162	1	1	5	140
chr1	74725656	1	1	5	171
chr1	75240035	1	1	5	153
chr1	75763886	1	1	5	214
chr1	76299855	1	1	5	153
chr1	76808548	1	1	5	202
chr1	77318332	1	1	5	180
chr1	77838812	1	1	5	190
chr1	78349332	1	1	5	144
chr1	78870444	1	1	5	189
chr1	79384000	1	1	5	144
chr1	79893552	1	1	5	95
chr1	80416201	1	1	5	129
chr1	80934906	1	1	5	168
chr1	81454691	1	1	5	160
chr1	81960451	1	1	5	137
chr1	82466138	1	1	5	145
chr1	82982786	1	1	5	198
chr1	83489409	1	1	5	162
chr1	84200214	1	1	5	223
chr1	84716217	1	1	5	186
chr1	85220041	1	1	5	225
chr1	85726370	1	1	5	174
chr1	86244638	1	1	5	187
chr1	86777780	1	1	5	165
chr1	87306084	1	1	5	184
chr1	87811204	1	1	5	234
chr1	88319440	1	1	5	200
chr1	88828614	1	1	5	190
chr1	89333297	1	1	5	190
chr1	89853519	1	1	5	209
chr1	90381069	1	1	5	155
chr1	90901799	1	1	5	188
chr1	91408857	1	1	5	202
chr1	91945241	1	1	5	200
chr1	92452022	1	1	5	220
chr1	92969066	1	1	5	148
chr1	93489558	1	1	5	171
chr1	94007986	1	1	5	148
chr1	94525168	1	1	5	199
chr1	95042266	1	1	5	191
chr1	95548242	1	1	5	235
chr1	96062230	1	1	5	182
chr1	96570716	1	1	5	199
chr1	97096430	1	1	5	181
chr1	97607686	1	1	5	148
chr1	98126351	1	1	5	148
chr1	98631954	1	1	5	142
chr1	99146483	1	1	5	171
chr1	99654948	1	1	5	167
chr1	100175520	1	1	5	157
chr1	100685180	1	1	5	124
chr1	101204942	1	1	5	137
chr1	101712930	1	1	5	159
chr1	102220754	1	1	5	165
chr1	102728787	1	1	5	146
