CHR	END	sim_lg
chr1	150001671	2
chr1	220300147	4
chr1	222999185	0
chr1	249250621	2
chr2	59130555	2
chr2	154047552	4
chr2	243199373	2
chr3	80560069	2
chr3	123565021	3
chr3	156768730	2
chr3	198022430	1
chr4	75040696	2
chr4	135669931	4
chr4	191154276	2
chr5	56709383	4
chr5	180915260	2
chr6	43489876	2
chr6	70460158	3
chr6	143745976	4
chr6	171115067	3
chr7	30257160	4
chr7	132403938	2
chr7	159138663	3
chr8	84175339	3
chr8	146364022	5
chr9	47204890	2
chr9	102538357	3
chr9	141213431	2
chr10	30600623	1
chr10	61999510	2
chr10	88989132	3
chr10	135534747	2
chr11	20502348	2
chr11	31100288	0
chr11	59999294	1
chr11	135006516	2
chr12	65852310	2
chr12	133851895	4
chr13	20421484	2
chr13	41534752	1
chr13	115169878	2
chr14	26701997	2
chr14	54231473	3
chr14	77399752	2
chr14	107349540	4
chr15	102531392	1
chr16	34005744	4
chr16	90354753	2
chr17	15156166	2
chr17	21755940	3
chr17	81195210	2
chr18	12172821	2
chr18	33248355	0
chr18	44859923	4
chr18	53055306	3
chr18	78077248	2
chr19	28345906	3
chr19	59128983	2
chr20	32541134	3
chr20	63025520	2
chr21	29357192	0
chr21	48129895	2
chr22	20770682	2
chr22	34742005	5
chr22	51304566	2
chrX	53160339	2
chrX	129169578	3
chrX	146698900	0
chrX	155270560	2
chrY	59373566	0
